sentence,citation_sentence,title,citation,quote
"Instead, it would represent the misuse of copyright to obtain a monopoly over that which could not have been patented—what this Court has called ""a surprise and a fraud upon the public.""","Baker v. Selden, 101 U.S. 99, 102 (1879).","Baker v. Selden,",101 U.S. 99,a surprise and a fraud upon the public.
"""[T]he thrust of the Amendment was to preserve the right to jury trial as it existed in 1791.""","Curtis v. Loether, 415 U.S. 189, 193 (1974).","Curtis v. Loether,",415 U.S. 189,the thrust of the Amendment was to preserve the right to jury trial as it existed in 1791.
"II.� COURTS HAVE LONG APPLIED A FLEXIBLE FAIR USE DOCTRINE TO ADDRESS SOFTWARE’S UNIQUE NATURE ""From its beginning, the law of copyright has developed in response to significant changes in technology.""","Sony Corp. of Am. v. Universal City Studios, Inc., 464 U.S. 417, 430 (1984).","Sony Corp. of Am. v. Universal City Studios, Inc.,",464 U.S. 417,"From its beginning, the law of copyright has developed in response to significant changes in technology."
": ""[C]opyright is limited to those aspects of the work—termed ‘expression’—that display the stamp of the author’s originality.""","471 U.S. 539, 547 (1985).",,471 U.S. 539,copyright is limited to those aspects of the work—termed ‘expression’—that display the stamp of the author’s originality.
"Notably, this Court rejected a claim for a copyright on a ""system"" for making signs and keys on maps.","Perris v. Hexamer, 99 U.S. 674, 676 (1878).","Perris v. Hexamer,",99 U.S. 674,system
"To find otherwise ""would be affording copyright protection to a process that is the province of patent law.""","MiTek Holdings, Inc. v. Arce Engineering Co., 89 F.3d 1548, 1556 (11th Cir. 1996).","MiTek Holdings, Inc. v. Arce Engineering Co.,",89 F.3d 1548,would be affording copyright protection to a process that is the province of patent law.
"It failed to be ""deferential to the judgment of Congress in the realm of copyright.""","Eldred v. Ashcroft, 537 U.S. 186, 198 (2003).","Eldred v. Ashcroft,",537 U.S. 186,deferential to the judgment of Congress in the realm of copyright.
"It overlooked this Court’s directive not to ""alter the delicate balance Congress has labored to achieve.""","Stewart v. Abend, 495 U.S. 207, 230 (1990).","Stewart v. Abend,",495 U.S. 207,alter the delicate balance Congress has labored to achieve.
"It assigns Congress the task of striking ""a difficult balance between the interests of authors and inventors in the control and exploitation of their writings and discoveries on the one hand, and society’s competing interest in the free flow of ideas, information, and commerce on the other hand.""","Sony Corp. v. Universal City Studios, Inc., 464 U.S. 417, 429 (1984).","Sony Corp. v. Universal City Studios, Inc.,",464 U.S. 417,"a difficult balance between the interests of authors and inventors in the control and exploitation of their writings and discoveries on the one hand, and society’s competing interest in the free flow of ideas, information, and commerce on the other hand."
"Smartphones are now ""such a pervasive and insistent part of daily life that the proverbial visitor from Mars might conclude that they were an important feature of human anatomy.""","Riley v. California, 573 U.S. 373, 385 (2014).","Riley v. California,",573 U.S. 373,such a pervasive and insistent part of daily life that the proverbial visitor from Mars might conclude that they were an important feature of human anatomy.
