file_id,para_n,word_n,word_c,sentence
c8f2f2ba-de34-45c9-98a5-3b4e0317ee7c,6,299,8,"Instead, it would represent the misuse of copyright to obtain a monopoly over that which could not have been patented—what this Court has called ""a surprise and a fraud upon the public."""
c117da23-f44d-401d-adf8-4c88dee9c62e,34,123,16,"II.� COURTS HAVE LONG APPLIED A FLEXIBLE FAIR USE DOCTRINE TO ADDRESS SOFTWARE’S UNIQUE NATURE ""From its beginning, the law of copyright has developed in response to significant changes in technology."""
cbd4423d-0fe7-453a-b117-6c93a4f174e8,2,24,1,"Notably, this Court rejected a claim for a copyright on a ""system"" for making signs and keys on maps."
2e4a46be-fd8b-414e-9c7b-f873f971ba7f,14,162,11,"It failed to be ""deferential to the judgment of Congress in the realm of copyright."""
ed453343-7f23-4893-abd3-221ac8dd2198,45,172,9,"It overlooked this Court’s directive not to ""alter the delicate balance Congress has labored to achieve."""
2f5a0a9f-c7db-4304-8517-9c053229d796,39,118,27,"The principal concern behind the commercial nature inquiry is ""the unfairness that arises when a secondary user makes unauthorized use of copyrighted material to capture significant revenues as a direct consequence of copying the original work."""
2e4a46be-fd8b-414e-9c7b-f873f971ba7f,53,14,4,"Copyright law is compatible with the First Amendment only because of two ""built-in First Amendment accommodations""—the idea/expression dichotomy (which is not at issue here) and fair use."
2e4a46be-fd8b-414e-9c7b-f873f971ba7f,53,14,4,"Copyright law is compatible with the First Amendment only because of two ""built-in First Amendment accommodations""—the idea/expression dichotomy (which is not at issue here) and fair use."
d2ab43d7-6d98-403a-91ab-5b69c40122e6,70,13,35,"The Second Circuit has correctly noted that ""the more the copying is done to achieve a purpose that differs from the purpose of the original, the less likely it is that the copy will serve as a satisfactory substitute for the original."""
15858d17-487d-4d98-a35f-abe7964dfb07,9,1,31,"As this Court has observed, it ""would be a dangerous undertaking for persons trained only to the law to constitute themselves final judges of the worth of pictorial illustrations, outside of the narrowest and most obvious limits."""
4885b535-c1f8-493f-9a7f-3964d92829ad,84,43,9,"Access Proof of access requires ""an opportunity to view or to copy plaintiff's work."""
8f5f81c3-6b0e-4adc-a113-a87e3af62615,21,98,18,"""General plot ideas are not protected by copyright law; they remain forever the common property of artistic mankind."""
67d90445-d114-4758-bc1a-b8aa5052fa0a,26,47,14,"""[A] court need not find that an infringer acted maliciously to find willful infringement."""
e34ff274-24c2-4193-bc21-9c5fda36d82b,33,38,11,"The most fundamental axiom of copyright law is that ""[n]o author may copyright his ideas or the facts he narrates."""
c8f2f2ba-de34-45c9-98a5-3b4e0317ee7c,9,46,47,"More than a century ago, the Court observed: ""The very object of publishing a book on science or the useful arts is to communicate to the world the useful knowledge which it contains. But this object would be frustrated if the knowledge could not be used without incurring the guilt of piracy of the book."""
48ff21e6-a6f6-4e96-8e4c-7731739f2e63,46,103,6,"These cases deny the patentee any right to control the distribution of unpatented articles unless they are ""unsuited for any commercial noninfringing use."""
8ea79556-cd7c-41df-8c59-19c4a5fbe699,9,12,26,"The fair use defense ""permits courts to avoid rigid application of the copyright statute when, on occasion, it would stifle the very creativity which that law is designed to foster."""
2f5dbf8b-e1ba-407e-9d6c-92b807234420,19,164,24,"""In assessing whether particular works are substantially similar, or strikingly similar, this Circuit applies a two-part analysis: the extrinsic test and the intrinsic test."""
a7e584a5-021e-453e-94ef-05f4c70c41cb,36,27,18,"Fair Use and Parody The fair use doctrine ""permits other people to use copyrighted material without the owner's consent in a reasonable manner for certain purposes."""
0e978459-07d5-4d66-bfb8-c575caf066ac,39,53,2,"Under our reasoning in Duke v. Smith, Duke also has a procedural due process right to have his petition to be placed on the ballot to be free from a committee's ""unfettered discretion"" in rendering a decision."
51ec785b-5b3b-44df-a7d4-5790692ebf3f,12,173,15,"Accordingly, we look at the ""the practical effect of the election laws of a given state, viewed in their totality."""
21c8dc57-e161-4c63-9eef-e1fec6ddd87c,20,113,18,"Under that principle, a proposed voting change cannot be precleared if it will lead to ""a retrogression in the position of racial minorities with respect to their effective exercise of the electoral franchise."""
80b5e400-f1f2-48c1-932a-a47a98900e52,29,80,44,"To merit such relief, a movant ""must make a threshold showing that: (1) absent preliminary injunctive relief, he will suffer irreparable harm in the interim prior to a final resolution; (2) there is no adequate remedy at law; and (3) he has a reasonable likelihood of success on the merits."""
dfa6d2d8-6ff6-44ca-83d8-aa4ccb6bfcdf,15,142,7,"Under the Fourteenth and Fifteenth Amendments, a discriminatory effect might be relevant to a showing of discriminatory intent, but it is not enough to prove ""invidious racial discrimination forbidden by the Constitution."""
9f583f6c-876f-4385-9cb1-7935a083825c,2,2532,16,"Even under that dubious rule, see Tennessee v. Lane, 541 U.S. 509, 555–65 (2004) (Scalia, J., dissenting), ""it is the responsibility of this Court, not Congress, to define the substance of constitutional guarantees."""
807f200c-8c3f-4143-adfe-cfa973baecfa,34,324,27,"""Distinctions between citizens solely because of their ancestry are by their very nature odious to a free people whose institutions are founded upon the doctrine of equality."""
